Id,SalePrice
1461,123850.984
1462,173231.58
1463,179380.28
1464,202371.64
1465,177925.44
1466,172453.23
1467,188809.47
1468,169905.78
1469,188052.2
1470,121388.77
1471,196843.16
1472,96116.58
1473,98178.46
1474,155084.89
1475,132440.16
1476,392104.6
1477,259076.34
1478,286971.06
1479,296207.62
1480,439189.06
1481,358480.28
1482,198146.12
1483,179866.97
1484,163882.75
1485,188810.73
1486,190726.9
1487,358707.75
1488,233042.33
1489,193003.84
1490,218069.72
1491,190196.89
1492,109561.62
1493,168943.9
1494,288816.12
1495,289305.7
1496,217826.31
1497,173436.39
1498,164109.53
1499,164626.34
1500,149836.83
1501,175573.03
1502,159501.98
1503,312783.62
1504,244211.11
1505,225913.73
1506,187050.22
1507,234289.12
1508,195823.11
1509,169146.7
1510,137216.62
1511,138026.53
1512,168858.7
1513,131298.77
1514,171030.44
1515,154177.95
1516,156333.56
1517,156185.6
1518,131357.12
1519,218345.25
1520,131633.14
1521,128034.94
1522,152765.88
1523,116336.34
1524,137658.45
1525,129148.21
1526,123963.945
1527,107849.945
1528,138994.0
1529,139570.86
1530,168632.11
1531,92742.58
1532,98733.66
1533,155155.89
1534,123220.56
1535,154845.77
1536,117561.625
1537,50237.03
1538,152426.48
1539,178851.61
1540,76809.56
1541,146932.55
1542,133957.89
1543,215240.94
1544,84384.48
1545,107177.445
1546,114550.52
1547,126802.52
1548,138252.08
1549,105974.555
1550,117221.84
1551,110494.76
1552,125436.43
1553,154296.52
1554,108405.35
1555,168018.73
1556,117744.85
1557,121812.05
1558,100799.266
1559,99882.836
1560,123399.77
1561,140029.52
1562,133633.66
1563,120424.6
1564,143813.03
1565,136738.77
1566,225021.4
1567,80544.73
1568,228688.38
1569,142686.25
1570,134585.72
1571,111056.99
1572,143835.39
1573,246172.28
1574,111320.39
1575,209111.47
1576,228164.9
1577,190302.3
1578,154460.97
1579,140443.69
1580,183768.38
1581,154833.8
1582,134220.28
1583,308252.88
1584,224946.72
1585,141127.62
1586,77666.29
1587,99474.836
1588,144129.1
1589,110364.695
1590,136835.83
1591,94951.59
1592,126335.38
1593,126448.34
1594,129067.67
1595,107702.15
1596,226137.9
1597,192381.97
1598,190639.25
1599,157067.62
1600,156729.02
1601,60031.945
1602,105264.63
1603,91971.375
1604,278929.25
1605,236627.34
1606,174070.39
1607,154912.97
1608,215643.23
1609,184102.0
1610,143110.34
1611,140535.88
1612,167822.4
1613,147477.67
1614,116659.31
1615,97055.19
1616,75545.73
1617,99006.25
1618,121758.86
1619,142054.9
1620,149372.56
1621,135372.73
1622,140414.38
1623,297172.47
1624,207061.52
1625,126269.03
1626,147895.12
1627,183458.27
1628,256103.7
1629,174601.4
1630,318726.8
1631,225614.67
1632,270135.9
1633,174342.34
1634,192955.08
1635,180796.84
1636,164092.0
1637,194874.28
1638,192702.23
1639,179161.8
1640,267688.3
1641,177181.25
1642,229746.83
1643,229638.38
1644,232580.06
1645,190579.1
1646,166585.48
1647,159379.12
1648,128172.62
1649,141730.27
1650,121861.445
1651,124503.37
1652,101953.62
1653,98682.07
1654,146657.61
1655,154708.2
1656,142611.7
1657,146379.95
1658,142897.19
1659,147728.8
1660,143765.86
1661,430404.06
1662,424923.88
1663,395255.62
1664,448890.8
1665,303060.25
1666,310461.72
1667,347933.5
1668,342439.0
1669,304103.7
1670,342074.72
1671,256778.45
1672,393113.66
1673,291948.72
1674,245031.86
1675,186351.73
1676,195513.33
1677,219057.5
1678,394737.7
1679,367695.72
1680,379909.62
1681,232504.88
1682,299802.12
1683,192200.25
1684,171872.98
1685,171702.12
1686,166487.5
1687,169614.52
1688,184488.86
1689,186011.17
1690,187892.48
1691,182095.16
1692,240583.02
1693,171579.84
1694,190319.92
1695,165930.34
1696,261702.39
1697,176258.38
